trailer_title,url,imdb_id,year,rating,votes,genre
SATAN MET A LADY trailer,https://archive.org/download/SatanMetALadyTrailer/SatanMetALadyTrailer.mp4,0028219,1936,6.0,1894.0,Comedy|Crime|Mystery
MODERN TIMES trailers,https://archive.org/download/ModernTimesTrailers/ModernTimesTrailer1.mp4,0027977,1936,8.5,215392.0,Comedy|Drama|Family|Romance
THE INVISIBLE RAY trailer,https://archive.org/download/TheInvisibleRayTrailer/TheInvisibleRayTrailer.mp4,0027800,1936,6.6,2208.0,Horror|Sci-Fi|Thriller
THE PETRIFIED FOREST trailer,https://archive.org/download/ThePetrifiedForestTrailer/ThePetrifiedForestTrailer.mp4,0028096,1936,7.5,12447.0,Drama|Film-Noir|Romance|Thriller
FOLLOW THE FLEET trailer,https://archive.org/download/FollowTheFleetTrailer/FollowTheFleetTrailer.mp4,0027630,1936,7.2,3923.0,Comedy|Musical|Romance
ANTHONY ADVERSE trailer,https://archive.org/download/AnthonyAdverseTrailer/AnthonyAdverseTrailer.mp4,0027300,1936,6.3,1602.0,Adventure|Drama|Romance
IT'S LOVE I'M AFTER trailer,https://archive.org/download/ItsLoveImAfterTrailer/ItsLoveImAfterTrailer.mp4,0029058,1937,7.5,2093.0,Comedy
CAPTAINS COURAGEOUS trailers,https://archive.org/download/CaptainsCourageousTrailers/CaptainsCourageousSpecialYouthTrailer.mp4,0028691,1937,8.0,8630.0,Adventure|Drama|Family
THE LIFE OF EMILE ZOLA Trailer,https://archive.org/download/THELIFEOFEMILEZOLATrailer/THE LIFE OF EMILE ZOLA trailer.mp4,0029146,1937,7.2,7066.0,Biography|Drama
NOTHING SACRED trailer,https://archive.org/download/NothingSacredTrailer/NothingSacredTrailer.mp4,0029322,1937,6.9,5952.0,Comedy|Drama|Fantasy|Romance
A DAY AT THE RACES trailer,https://archive.org/download/ADayAtTheRacesTrailer/ADayAtTheRacesTrailer.mp4,0028772,1937,7.6,12881.0,Comedy|Musical|Sport
THE GOOD EARTH trailer,https://archive.org/download/TheGoodEarthTrailer/TheGoodEarthTrailer.mp4,0028944,1937,7.5,4474.0,Drama|Romance
THE LAST OF MRS CHEYNEY 1937 trailer,https://archive.org/download/TheLastOfMrsCheyney1937Trailer/TheLastOfMrsCheyney1937Trailer.mp4,0029120,1937,6.4,1167.0,Comedy|Drama
HEIDI 1937 trailer ,https://archive.org/download/Heidi1937Trailer_658/Heidi1937Trailer2.mp4,0028988,1937,7.3,4077.0,Drama|Family|Musical
SNOW WHITE AND THE SEVEN DWARFS dvd trailer,https://archive.org/download/SnowWhiteAndTheSevenDwarfsDvdTrailer/SnowWhiteAndTheSevenDwarfsDvdTrailer.mp4,0029583,1937,7.6,179939.0,Animation|Family|Fantasy|Musical|Romance
MARKED WOMAN trailer,https://archive.org/download/MarkedWomanTrailer/MarkedWomanTrailer.mp4,0029217,1937,7.2,3491.0,Crime|Film-Noir|Thriller
BLACK LEGION trailer,https://archive.org/download/BlackLegionTrailer/BlackLegionTrailer.mp4,0027367,1937,7.0,2717.0,Crime|Drama|Film-Noir
ROOM SERVICE trailer,https://archive.org/download/RoomServiceTrailer/RoomServiceTrailer.mp4,0030696,1938,6.7,4733.0,Comedy
TEST PILOT trailer,https://archive.org/download/TestPilotTrailer/TestPilotTrailer.mp4,0030848,1938,6.9,2062.0,Drama|Romance
A SLIGHT CASE OF MURDER trailer,https://archive.org/download/ASlightCaseOfMurderTrailer/ASlightCaseOfMurderTrailer.mp4,0030764,1938,7.1,1945.0,Comedy|Crime
ANGELS WITH DIRTY FACES trailer,https://archive.org/download/AngelsWithDirtyFacesTrailer/AngelsWithDirtyFacesTrailer.mp4,0029870,1938,7.9,19687.0,Crime|Drama|Film-Noir|Thriller
BRINGING UP BABY trailer,https://archive.org/download/BringingUpBabyTrailer/BringingUpBabyTrailre.mp4,0029947,1938,7.9,54620.0,Comedy|Family|Romance
